CODE,re_emp_ratio
000660,0.9973784635805542
035420,0.344377939290295
005380,0.05665305215192687
006400,0.278391515687141
068270,0.839148164929769
028260,0.6460483047964621
005490,0.05469392228859538
105560,0.18633540372670807
055550,0.18579234972677597
012330,0.2727272727272727
096770,0.2838137472283814
034730,0.2156025179856115
015760,0.2207653540616725
066570,0.8333242006630318
323410,0.35714285714285715
010950,0.5538998097653773
086790,0.13274336283185842
017670,0.1635137666229631
051900,0.8724546878496308
009150,
000810,
010130,
316140,
003670,
011070,
036570,
090430,
009830,
024110,
086280,
009540,
011170,
251270,
032640,
035250,
018880,
010140,
047810,
034220,
011790,
021240,
000720,
005830,
004020,
011780,
271560,
000060,
004990,
078930,
128940,
036460,
010620,
029780,
003410,
010060,
282330,
028670,
307950,
002790,
005940,
016360,
023530,
008770,
001450,
008930,
030000,
052690,
007070,
272210,
026960,
012750,
112610,
047040,
047050,
001440,
064350,
204320,
138930,
039490,
004170,
006260,
006280,
336260,
000880,
081660,
111770,
004800,
093370,
004370,
005300,
003090,
336370,
014820,
007310,
009240,
000210,
005070,
005850,
175330,
120110,
139130,
001120,
042700,
001230,
000240,
010780,
016710,
020560,
019170,
000150,
018670,
017800,
031430,
042670,
181710,
001740,
268280,
003690,
003240,
073240,
000670,
079160,
145720,
178920,
300720,
005250,
082640,
214320,
002840,
032350,
009420,
014830,
013890,
005880,
249420,
069260,
114090,
011000,
089590,
010050,
023590,
003540,
005440,
020000,
039130,
004490,
004690,
241590,
272450,
001680,
192080,
003530,
003850,
005690,
007700,
105630,
006120,
000640,
192650,
192820,
009970,
064960,
000070,
057050,
003000,
003030,
210980,
034310,
097520,
007340,
001430,
085620,
003470,
005090,
001060,
003280,
170900,
002240,
004430,
017810,
005180,
007810,
082740,
093050,
007690,
123890,
001470,
011930,
034830,
306200,
007660,
007570,
005420,
005950,
003580,
037560,
145990,
002320,
001530,
030610,
286940,
161000,
322000,
003070,
004890,
071840,
012630,
002900,
115390,
138490,
053210,
006390,
084010,
068400,
058650,
108670,
008490,
018250,
281820,
002270,
092220,
016800,
226320,
130660,
071320,
033270,
007460,
016590,
001510,
122900,
005500,
015860,
003220,
003300,
000050,
077970,
009290,
024720,
293480,
002960,
000480,
107590,
002150,
001500,
055490,
011700,
026890,
016580,
213500,
001790,
271980,
004250,
002990,
002020,
001630,
104700,
084690,
298690,
001250,
002710,
214330,
000490,
081000,
001780,
037710,
009680,
001520,
000020,
101060,
095720,
005810,
009410,
001200,
020120,
006060,
103590,
004380,
024090,
036530,
029460,
005960,
105840,
092230,
084680,
009580,
002810,
001570,
077500,
028100,
006490,
068290,
002390,
035510,
003570,
003060,
128820,
001130,
025000,
079980,
012610,
000230,
008040,
044450,
033180,
039570,
001270,
001940,
200880,
031440,
002100,
011280,
001360,
035150,
015360,
000540,
000680,
014280,
006880,
004360,
002140,
234080,
101530,
001340,
011500,
002210,
007540,
005720,
033920,
004560,
000970,
036580,
000390,
003160,
013360,
013570,
074610,
000430,
017550,
005010,
083420,
014160,
094280,
007860,
004970,
090350,
092200,
282690,
002700,
006740,
006220,
120030,
012030,
267850,
015230,
015540,
002170,
004080,
014790,
033530,
000700,
004960,
004090,
004310,
078520,
000320,
000180,
003650,
210540,
000860,
017040,
100840,
010040,
017900,
001750,
053690,
004140,
014530,
004540,
002450,
012800,
008260,
267290,
005430,
001260,
019440,
123690,
093230,
006370,
006380,
012690,
012200,
067830,
014580,
011150,
009440,
016880,
009810,
004060,
023800,
003560,
002360,
020760,
000300,
006340,
007110,
004720,
000500,
025750,
005740,
001290,
003350,
013870,
005800,
023000,
002600,
002760,
002220,
005870,
034300,
024890,
027740,
002720,
025820,
010600,
004830,
004440,
011810,
009460,
002880,
091090,
004410,
007590,
031820,
016090,
227840,
012170,
009180,
008250,
016740,
002200,
000650,
006660,
001140,
047400,
007980,
009320,
155660,
134790,
004840,
101140,
002630,
003720,
163560,
006090,
000910,
013700,
013520,
011330,
071090,
058850,
133820,
011390,
129260,
000950,
023350,
058860,
012320,
111110,
143210,
011090,
021820,
004910,
118000,
004450,
027970,
012160,
025620,
010100,
006980,
090080,
023960,
002920,
001020,
008420,
026940,
005110,
069730,
008870,
049800,
015260,
009770,
021050,
002690,
092780,
001380,
005360,
006200,
004870,
002820,
000040,
006570,
014990,
010660,
019180,
015020,
001620,
005820,
123700,
004100,
010640,
002070,
024070,
004920,
093240,
044380,
011420,
025530,
012600,
010400,
084670,
000760,
030720,
007120,
018500,
003680,
009140,
001420,
001770,
001210,
011230,
025890,
010420,
071950,
008500,
030790,
007630,
036490,
263750,
247540,
253450,
278280,
035760,
058470,
112040,
096530,
086520,
035900,
237690,
005290,
108320,
041510,
240810,
048260,
064760,
145020,
025900,
034230,
141080,
137400,
039030,
098460,
003380,
215200,
078340,
067160,
041140,
144510,
030190,
053800,
086450,
048410,
039200,
036540,
122870,
085660,
200130,
095700,
000250,
084850,
214450,
272290,
069080,
046890,
151860,
182400,
025980,
218410,
290510,
178320,
033290,
060250,
091700,
051500,
235980,
038540,
089980,
092040,
041960,
033640,
243840,
101490,
029960,
038500,
143240,
104830,
268600,
060150,
032190,
104480,
100130,
061970,
034950,
078130,
088800,
078070,
048530,
078160,
030530,
051370,
083790,
042000,
108230,
194700,
237880,
265520,
082920,
036030,
023760,
122990,
052020,
138080,
089600,
044340,
094480,
067280,
045390,
192440,
131370,
183490,
053300,
043610,
239610,
052260,
054050,
092730,
041440,
216050,
200230,
021320,
263050,
036560,
046140,
039860,
056700,
007820,
016250,
016600,
021880,
036670,
293580,
010470,
190650,
019570,
